41Ar	40	964500.571	0.37
41K	40	961825.258	0
41Ca	40	962277.921	0.14
41Sc	40	969251.104	0.08
41Ti	40	983148	30
41V	41	000344	215
42Al	42	043049	644
42Si	42	017681	537
42P	42	1084	337.5
42S	41	981065.1	3
42Cl	41	973342	64
42Ar	41	963045.736	6.2
42K	41	962402.306	0.11
42Ca	41	958617.828	0.15
42Sc	41	965516.522	0.18
42Ti	41	973049.022	0.29
42V	41	991820	210
42Cr	42	007225	429
43Al	43	050478	859
43Si	43	024800	640
43P	43	5024	595.5
43S	42	986907.635	5.33
43Cl	42	974063.7	66.4
43Ar	42	965636.055	5.7
43K	42	960734.703	0.44
43Ca	42	958766.43	0.24
43Sc	42	961150.472	1.99
43Ti	42	968522.521	7.77
43V	42	980766	46
43Cr	42	997885	429
44Si	44	030610	640
44P	44	011219	537
44S	43	990118.848	5.6
44Cl	43	978116.312	146.34
44Ar	43	964923.816	1.7
44K	43	961586.986	0.45
44Ca	43	955481.543	0.34
44Sc	43	959402.867	1.88
44Ti	43	959689.951	0.75
44V	43	974110	195
44Cr	43	985657	322
44Mn	44	007547	537
45Si	45	040247	751
45P	45	016747	537
45S	44	995717	1111.5
45Cl	44	980394.353	146.17
45Ar	44	968039.733	0.55
45K	44	960691.493	0.56
45Ca	44	956186.326	0.39
45Sc	44	955907.503	0.72
45Ti	44	958121.211	0.9
45V	44	965768.951	0.93
45Cr	44	979050	38
45Mn	44	994364	429
45Fe	45	014774	429
46P	46	024659	751
46S	46	000365	537
46Cl	45	985121.323	224
46Ar	45	968037.446	1.2
46K	45	961981.586	0.78
46Ca	45	953687.988	2.39
46Sc	45	955167.485	0.73
46Ti	45	952626.856	0.17
46V	45	960197.971	0.21
46Cr	45	968360.97	12.29
46Mn	45	986506	429
46Fe	46	000977	537
47P	47	031895	859
47S	47	007912	537
47Cl	46	989501	429
47Ar	46	972768.114	1.2
47K	46	961661.614	1.5
47Ca	46	954541.394	2.38
47Sc	46	952402.704	2.07
47Ti	46	951757.752	0.12
47V	46	954904.038	0.18
47Cr	46	962895.544	6.47
47Mn	46	975774	34
47Fe	46	992625	537
47Co	47	011133	644
48S	48	013700	640
48Cl	47	995405	537
48Ar	47	976080	330
48K	47	965341.186	0.83
48Ca	47	952522.904	0.1
48Sc	47	952223.157	5.31
48Ti	47	947940.932	0.11
48V	47	952251.229	1.04
48Cr	47	954028.667	7.86
48Mn	47	968549.085	7.44
48Fe	47	980676	429
48Co	48	001610	537
48Ni	48	018028	538
49S	49	022644	716
49Cl	49	001009	644
49Ar	48	981546	429
49K	48	968210.755	0.86
49Ca	48	955662.875	0.21
49Sc	48	950014.423	2.89
49Ti	48	947864.627	0.12
49V	48	948510.746	0.88
49Cr	48	951332.955	2.4
49Mn	48	959612.585	2.42
49Fe	48	973429	26
49Co	48	989393	537
49Ni	49	008803	644
50Cl	50	008309	644
50Ar	49	985690	537
50K	49	972380.017	8.3
50Ca	49	957499.217	1.7
50Sc	49	952176.415	16.1
50Ti	49	944785.839	0.12
50V	49	947155.845	0.43
50Cr	49	946041.443	0.46
50Mn	49	954237.391	0.47
50Fe	49	962988	9
50Co	49	981073	429
50Ni	49	995577	537
51Cl	51	015341	751
51Ar	50	992818	644
51K	50	975827.867	14
51Ca	50	960995.665	0.56
51Sc	50	953592.095	21.47
51Ti	50	946609.6	0.54
51V	50	943956.867	0.43
51Cr	50	944764.652	0.42
51Mn	50	948208.065	0.53
51Fe	50	956840.779	9.62
51Co	50	970647	52
51Ni	50	987225	537
52Ar	51	998626	644
52K	51	981602	36
52Ca	51	963213.648	0.72
52Sc	51	956582.351	87.87
52Ti	51	946891.96	7.59
52V	51	944772.839	0.45
52Cr	51	940504.992	0.36
52Mn	51	945563.488	1.98
52Fe	51	948115.217	5.49
52Co	51	963112	9
52Ni	51	976028	429
52Cu	51	997552	644
53Ar	53	007290	750
53K	52	986800	120
53Ca	52	968451	47
53Sc	52	958231.821	101
53Ti	52	949724.785	107.4
53V	52	944335.593	3.34
53Cr	52	940646.961	0.37
53Mn	52	941287.742	0.48
53Fe	52	945305.574	1.77
53Co	52	954203.217	1.83
53Ni	52	968190	27
53Cu	52	985754	537
54K	53	994630	640
54Ca	53	972989	52
54Sc	53	963616.62	292.86
54Ti	53	951022.786	88.52
54V	53	946437.472	16.1
54Cr	53	938878.012	0.37
54Mn	53	940356.429	1.13
54Fe	53	939608.306	0.39
54Co	53	948459.192	0.41
54Ni	53	957833	5
54Cu	53	977015	429
54Zn	53	993267	430
55K	55	000760	750
55Ca	54	980300	322
55Sc	54	967622.601	487.75
55Ti	54	955267.465	173.48
55V	54	947241.114	102.09
55Cr	54	940837.289	0.42
55Mn	54	938043.172	0.32
55Fe	54	938291.283	0.36
55Co	54	941996.531	0.45
55Ni	54	951329.961	0.77
55Cu	54	966038	167
55Zn	54	984358	429
56K	56	008510	860
56Ca	55	985080	429
56Sc	55	973320	630
56Ti	55	957788.19	130.16
56V	55	950450.694	189.9
56Cr	55	940649.107	0.64
56Mn	55	938902.947	0.35
56Fe	55	934935.617	0.32
56Co	55	939838.15	0.52
56Ni	55	942127.872	0.45
56Cu	55	958515	16
56Zn	55	972743	429
56Ga	55	996361	537
57Ca	56	992620	429
57Sc	56	977460	1400
57Ti	56	963590.068	275.27
57V	56	952320.197	86.39
57Cr	56	943612.409	1.14
57Mn	56	938285.968	1.61
57Fe	56	935392.134	0.32
57Co	56	936289.913	0.57
57Ni	56	939791.525	0.62
57Cu	56	949211.819	0.55
57Zn	56	965056	215
57Ga	56	983886	429
58Ca	57	997940	537
58Sc	57	984030	429
58Ti	57	966602	215
58V	57	956626.932	95.94
58Cr	57	944184.502	1.6
58Mn	57	940066.646	2.9
58Fe	57	933273.738	0.36
58Co	57	935751.429	1.24
58Ni	57	935341.78	0.4
58Cu	57	944532.413	0.62
58Zn	57	954590.428	53.67
58Ga	57	974729	322
58Ge	57	992399	537
59Sc	58	988940	429
59Ti	58	972614	215
59V	58	959385.659	173.77
59Cr	58	948377.81	232.27
59Mn	58	940391.113	2.5
59Fe	58	934873.649	0.38
59Co	58	933193.656	0.44
59Ni	58	934345.571	0.4
59Cu	58	939496.844	0.58
59Zn	58	949312.017	0.82
59Ga	58	963757	183
59Ge	58	982963	429
60Sc	59	995650	537
60Ti	59	976028	322
60V	59	964313.29	236.35
60Cr	59	949898.146	207.83
60Mn	59	943136.576	2.5
60Fe	59	934070.411	3.65
60Co	59	933815.667	0.45
60Ni	59	930785.256	0.4
60Cu	59	937363.916	1.73
60Zn	59	941841.45	0.6
60Ga	59	957498	215
60Ge	59	970918	322
60As	59	994128	429
61Sc	61	001000	644
61Ti	60	982448	429
61V	60	967250	960
61Cr	60	954400.963	108.79
61Mn	60	944452.544	2.5
61Fe	60	936746.244	2.8
61Co	60	932476.145	0.9
61Ni	60	931054.945	0.4
61Cu	60	933457.371	1.02
61Zn	60	939506.96	17.06
61Ga	60	949398.859	40.78
61Ge	60	964187	322
61As	60	981857	322
62Ti	61	986581	429
62V	61	972650	320
62Cr	61	956097.451	158.99
62Mn	61	947907.386	7.02
62Fe	61	936791.812	3
62Co	61	934058.317	19.94
62Ni	61	928344.871	0.47
62Cu	61	932594.921	0.69
62Zn	61	934333.477	0.67
62Ga	61	944189.757	0.69
62Ge	61	955190	150
62As	61	973891	322
63Ti	62	993827	537
63V	62	976500	429
63Cr	62	961344.384	384.4
63Mn	62	949664.675	4
63Fe	62	940272.7	4.61
63Co	62	933599.744	19.94
63Ni	62	929669.139	0.47
63Cu	62	929597.236	0.47
63Zn	62	933211.167	1.67
63Ga	62	939294.195	1.4
63Ge	62	949628	40
63As	62	964036	215
64Ti	63	998900	644
64V	63	982480	429
64Cr	63	964058	472
64Mn	63	953849.37	3.8
64Fe	63	940987.763	5.38
64Co	63	935810.291	21.47
64Ni	63	927966.341	0.51
64Cu	63	929763.857	0.48
64Zn	63	929141.772	0.69
64Ga	63	936840.365	1.53
64Ge	63	941689.913	4
64As	63	957560	218
64Se	63	971336	540
65V	64	987354	537
65Cr	64	969705	322
65Mn	64	956019.75	4
65Fe	64	945015.324	5.48
65Co	64	936462.073	2.23
65Ni	64	930084.697	0.53
65Cu	64	927789.487	0.69
65Zn	64	929240.532	0.69
65Ga	64	932734.395	0.87
65Ge	64	939368.137	2.32
65As	64	949611	91
65Se	64	964552	322
66V	65	993977	537
66Cr	65	973462	429
66Mn	65	960546.834	12
66Fe	65	946249.96	4.4
66Co	65	939442.945	15
66Ni	65	929139.334	1.5
66Cu	65	928868.814	0.7
66Zn	65	926033.704	0.8
66Ga	65	931589.832	1.17
66Ge	65	933862.126	2.57
66As	65	944148.779	6.1
66Se	65	955276	215
67V	66	999302	644
67Cr	66	979946	429
67Mn	66	964079	322
67Fe	66	951035.482	290.16
67Co	66	940609.628	6.91
67Ni	66	931569.414	3.1
67Cu	66	927729.526	0.95
67Zn	66	927127.482	0.81
67Ga	66	928202.384	1.26
67Ge	66	932733.62	5
67As	66	939251.111	0.47
67Se	66	949994	72
67Br	66	964798	429
68Cr	67	984112	537
68Mn	67	969533	429
68Fe	67	953314.875	392.12
68Co	67	944250.135	203.43
68Ni	67	931868.789	3.2
68Cu	67	929610.889	1.7
68Zn	67	924844.291	0.84
68Ga	67	927980.221	1.53
68Ge	67	928095.308	2.01
68As	67	936774.13	1.98
68Se	67	941825.239	0.53
68Br	67	958356	278
69Cr	68	990789	537
69Mn	68	973408	429
69Fe	68	958100	429
69Co	68	946023.102	150.83
69Ni	68	935610.268	4
69Cu	68	929429.268	1.5
69Zn	68	926550.418	0.85
69Ga	68	925573.531	1.28
69Ge	68	927964.471	1.41
69As	68	932246.294	34.35
69Se	68	939414.847	1.59
69Br	68	950338.413	45.09
69Kr	68	965180	430
70Cr	69	995191	644
70Mn	69	979066	537
70Fe	69	960805	429
70Co	69	949941	322
70Ni	69	936431.303	2.3
70Cu	69	932392.079	1.16
70Zn	69	925319.181	2.05
70Ga	69	926021.917	1.28
70Ge	69	924248.706	0.9
70As	69	930926.151	53.68
70Se	69	933515.523	1.7
70Br	69	944792.323	16
70Kr	69	955877	215
71Mn	70	983285	537
71Fe	70	966259	429
71Co	70	952366.923	499.23
71Ni	70	940518.964	2.4
71Cu	70	932676.832	1.6
71Zn	70	927719.58	2.84
71Ga	70	924702.536	0.87
71Ge	70	924952.284	0.89
71As	70	927113.758	4.47
71Se	70	932209.432	3
71Br	70	939342.156	5.79
71Kr	70	950265.696	138.23
71Rb	70	965582	429
72Mn	71	989372	644
72Fe	71	969479	537
72Co	71	956844	429
72Ni	71	941785.926	2.4
72Cu	71	935820.307	1.5
72Zn	71	926842.807	2.3
72Ga	71	926367.434	0.87
72Ge	71	922075.826	0.08
72As	71	926752.295	4.38
72Se	71	927140.507	2.1
72Br	71	936594.607	1.1
72Kr	71	942092.407	8.6
72Rb	71	958851	537
73Fe	72	975416	537
73Co	72	959830	429
73Ni	72	946206.683	2.6
73Cu	72	936674.378	2.08
73Zn	72	929582.582	2
73Ga	72	925174.682	1.8
73Ge	72	923458.956	0.06
73As	72	923829.089	4.13
73Se	72	926754.883	7.96
73Br	72	931671.621	7.8
73Kr	72	939289.195	7.06
73Rb	72	950529	215
73Sr	72	965700	430
74Fe	73	978969	644
74Co	73	964766	537
74Ni	73	947980	210
74Cu	73	939874.862	6.6
74Zn	73	929407.262	2.7
74Ga	73	926945.726	3.21
74Ge	73	921177.762	0.01
74As	73	923928.598	1.81
74Se	73	922475.935	0.01
74Br	73	929910.281	6.26
74Kr	73	933084.017	2.16
74Rb	73	944265.868	3.24
74Sr	73	956170	107
75Fe	74	985357	644
75Co	74	968170	537
75Ni	74	952732	322
75Cu	74	941522.606	2.5
75Zn	74	932840.246	2.1
75Ga	74	926500.246	2.6
75Ge	74	922858.371	0.05
75As	74	921594.562	0.94
75Se	74	922522.871	0.07
75Br	74	925810.57	4.6
75Kr	74	930945.746	8.7
75Rb	74	938573.201	1.26
75Sr	74	949952.77	236.18
75Y	74	965840	322
76Co	75	973687	644
76Ni	75	955308	429
76Cu	75	945275.025	7.2
76Zn	75	933114.957	1.56
76Ga	75	928827.625	2.1
76Ge	75	921402.726	0.01
76As	75	922392.01	0.95
76Se	75	919213.704	0.01
76Br	75	924541.577	10
76Kr	75	925910.726	4.3
76Rb	75	935073.032	1
76Sr	75	941762.761	37
76Y	75	958690	322
77Co	76	977440	644
77Ni	76	960494	537
77Cu	76	947800	160
77Zn	76	936887.199	2.11
77Ga	76	929154.3	2.6
77Ge	76	923549.844	0.05
77As	76	920647.564	1.81
77Se	76	919914.15	0.06
77Br	76	921379.194	3.01
77Kr	76	924670	2.1
77Rb	76	930401.6	1.4
77Sr	76	937945.455	8.5
77Y	76	950146	218
77Zr	76	965604	429
78Ni	77	963618	644
78Cu	77	952230	540
78Zn	77	938289.205	2.08
78Ga	77	931608.845	2.04
78Ge	77	922852.912	3.79
78As	77	921827.795	10.5
78Se	77	917309.243	0.19
78Br	77	921145.859	3.84
78Kr	77	920366.341	0.32
78Rb	77	928141.868	3.47
78Sr	77	932179.98	8
78Y	77	943990	320
78Zr	77	956146	429
79Ni	78	970402	644
79Cu	78	955190	322
79Zn	78	942638.068	2.38
79Ga	78	932852.301	2
79Ge	78	925360.129	39.91
79As	78	920948.445	5.71
79Se	78	918499.251	0.23
79Br	78	918337.601	1.09
79Kr	78	920082.945	3.74
79Rb	78	923989.864	2.3
79Sr	78	929707.664	9
79Y	78	937930	85
79Zr	78	949790	322
79Nb	78	966022	537
80Ni	79	975706	751
80Cu	79	961138	429
80Zn	79	944552.93	2.77
80Ga	79	936420.774	3.1
80Ge	79	925350.774	2.2
80As	79	922474.548	3.57
80Se	79	916521.785	1.03
80Br	79	918529.81	1.08
80Kr	79	916378.048	0.74
80Rb	79	922516.444	2
80Sr	79	924517.54	3.71
80Y	79	934354.755	6.7
80Zr	79	941642	322
80Nb	79	958754	429
81Cu	80	966269	537
81Zn	80	950402.619	5.4
81Ga	80	938133.842	3.5
81Ge	80	928832.942	2.2
81As	80	922132.29	2.83
81Se	80	917993.044	1.06
81Br	80	916288.206	1.04
81Kr	80	916589.714	1.15
81Rb	80	918993.927	5.26
81Sr	80	923211.394	3.35
81Y	80	929454.283	5.8
81Zr	80	938314	101
81Nb	80	950230	429
81Mo	80	965915	537
82Cu	81	972818	644
82Zn	81	954574.099	3.3
82Ga	81	943176.533	2.6
82Ge	81	929774.033	2.4
82As	81	924738.733	4
82Se	81	916699.537	0.5
82Br	81	916801.76	1.04
